Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
485.0,97.10584002756832,30.390474517896223
486.0,96.87877046719824,29.79059937394747
487.0,95.71747952263699,30.036458664546316
488.0,94.74154051508604,29.94950183813405
489.0,94.92629833747151,31.156927257955633
490.0,95.47383058508166,30.580395469647392
491.0,94.52254465553392,30.3627318534489
492.0,93.68271382099945,31.577698785314308
493.0,92.85997852041194,32.684302574037055
494.0,92.90801816221347,31.951453475707797
495.0,93.44024427318394,32.73708303513056
496.0,92.80303692239494,33.44166321202802
497.0,91.99626674549465,34.06540093528508
498.0,91.23272822522685,34.09603573564364
499.0,90.64056453623985,32.35957561272182
500.0,90.03553635194223,32.492181587154334
501.0,90.52362601570749,35.084653819677804
502.0,90.24869987124515,34.4285070349402
503.0,89.75892735839722,33.27519296969789
504.0,88.26322538812352,33.29547363771462
505.0,87.17798556510819,33.86847067576238
506.0,88.11320824834729,33.78265887126593
507.0,88.78064657756737,33.490541395932915
508.0,88.44133772866144,34.50738244243429
509.0,87.36549930549342,35.211792858442614
510.0,86.14927849454001,34.994928721906945
511.0,86.80033836430991,34.6763220923632
512.0,87.35694124555256,34.02390726603354
513.0,86.51278187651343,34.66278404560399
514.0,85.42642795967564,34.33501160178271
515.0,84.8678156619894,34.003286270145345
516.0,84.61905239298362,35.39998588801663
517.0,83.32931001359216,35.6787880950375
518.0,83.39286368426579,35.92222850039167
519.0,84.09785047317027,35.36671312961293
520.0,83.29808554220519,34.98638015524441
521.0,82.01220175043241,36.52399280189926
522.0,80.90436379640641,36.788206270720195
523.0,80.879207008491,35.69849635454183
524.0,80.7162878080918,34.98548871010765
525.0,80.4061882379246,35.89952195362089
526.0,79.67716411404513,35.724424305510155
527.0,78.81328375441561,36.38291293226581
528.0,78.66520201690173,36.251124637603525
529.0,77.3776726012428,36.13464132003612
530.0,77.49405580185258,36.031644900363105
531.0,77.26723169276896,34.74705944616624
532.0,76.83941657218284,35.68932761941186
533.0,75.68347050990953,36.22878306807511
534.0,75.08609708803127,36.029204971173236
535.0,76.14658015574176,36.45376739565038
536.0,75.79120058083191,35.29163952952316
537.0,75.25536981755266,35.344025812932244
538.0,74.2380894878708,35.31360661147265
539.0,73.96398201571216,35.35022324009006
540.0,74.10227815456058,35.70038760021176
541.0,74.39490668479715,36.16661412885301
542.0,73.64205782465882,36.26176624679909
543.0,73.57234074567907,34.95260919945635
544.0,72.90027105882078,35.760234169280324
545.0,72.08873604802345,36.54743110744164
546.0,71.84726162429388,37.117149055575815
547.0,71.70331618585692,35.582496950794464
548.0,72.6209910534389,35.974872247523045
549.0,71.69170154608119,35.75972149391535
550.0,70.47588060304253,36.36167362951606
551.0,70.17309731472392,36.63850732111079
552.0,70.2606628270047,36.32015501430064
553.0,70.40368572149771,35.991595450886194
554.0,69.44391184491366,35.862188555899856
555.0,68.93391723863667,36.24346924139444
556.0,68.34897508859154,35.99260924474433
557.0,68.38311494814576,37.43491597751891
558.0,67.9853785500234,38.93302461294656
559.0,67.59789923666088,37.638187845018834
560.0,67.41410731979555,37.20436964578256
561.0,66.3506885745488,37.66290078999082
562.0,64.88266988995733,37.956005467846644
563.0,65.18960519755913,38.20968102260227
564.0,64.65128921555026,36.63035840112398
565.0,64.54453590849648,36.46137041182075
566.0,63.582874855964164,36.352844507296595
567.0,63.09239161995585,36.99985054185857
568.0,63.34570976521103,37.568215630310284
569.0,62.944349505020085,36.96258587962959
570.0,63.006527128506434,37.062484250639244
571.0,63.37259052963582,36.66049160221656
572.0,62.96931019904089,34.87914812862479
573.0,62.53439503556936,35.94117536561947
574.0,61.446058510361766,36.70926509939094
575.0,61.46790808357656,36.42755758086958
576.0,62.34590370447869,35.73616174272415
577.0,62.110482463161595,35.205580616794855
578.0,61.318213913555454,35.99309255346223
579.0,60.586863096846976,36.773173321869976
580.0,60.38608288030608,36.3639304837376
581.0,60.70010851062029,36.13470907838427
582.0,60.160059014046425,36.27582735460911
583.0,59.705012409912754,35.35245757732944
584.0,60.36686455718301,35.13228197052446
585.0,59.229863541994085,35.684536492093606
586.0,58.42868057661735,36.24499857171135
587.0,58.40646510536321,35.76981635292018
588.0,58.86694248957546,35.099892984186475
589.0,58.83586152334348,34.81989153971087
590.0,57.868009573912666,35.46578261420003
591.0,56.67969805397941,36.33263802258985
592.0,56.86662517975429,36.156606271435116
593.0,56.92982316913781,34.42094472831794
594.0,57.11189460402911,33.93974387045095
595.0,56.32207603950517,33.63487034411454
596.0,56.18335774648789,32.99626744384623
