,Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
251,251.0,34.433383,0.2083898932,0.0015622417,6.42499e-05,43.92899378858081,0.0250913321980212
252,252.0,34.331252,0.2083586649,0.0015540592999999,6.403149999999999e-05,45.328741050213566,0.0249237710797999
253,253.0,34.246506,0.2083654728,0.0015671619,6.40837e-05,45.36505835975232,0.0252165091236495
254,254.0,34.232494,0.2083924356,0.0015808138999999,6.5001e-05,43.19910569942423,0.0248696666631353
255,255.0,34.151502,0.2084291318,0.0015812213,6.69922e-05,41.74652976519765,0.0251499743495453
256,256.0,34.133881,0.2084161557,0.0015627058999999,6.5813e-05,41.90677477611829,0.0247178553820812
257,257.0,34.133409,0.2083836704,0.0015558486999999,6.348519999999999e-05,43.58528695028099,0.0246682369272698
258,258.0,34.049386,0.2083241376,0.0015613239,6.12054e-05,46.99908659447336,0.0248853756568673
259,259.0,34.116454,0.2083385558,0.0015730696,6.08297e-05,46.72609209759489,0.0252003966621307
260,260.0,34.051668,0.2083634835,0.0015996624,6.26951e-05,45.42292611018911,0.0253739199431328
261,261.0,33.953174,0.2083772759,0.0015980985,6.46578e-05,44.330556210741925,0.0251729821986007
262,262.0,33.933686,0.2083713539,0.0015765028,6.40734e-05,43.97366855434461,0.0246639138443404
263,263.0,33.853432,0.2083345567,0.001562514,6.12222e-05,46.17475386658475,0.0247365245048559
264,264.0,33.835341,0.2082989656,0.0015647781,6.00427e-05,48.8238423503055,0.0251701487709755
265,265.0,33.750988,0.2083423056999999,0.0015709827,6.01699e-05,45.99325806793447,0.0248904246276292
266,266.0,33.732428,0.2083817415,0.0015996890999999,6.22804e-05,43.557277859961474,0.0248493877304656
267,267.0,33.732498,0.2083975132,0.0015954264,6.38582e-05,42.91282901629031,0.0249333281634278
268,268.0,33.56991,0.2083986402,0.001567346,6.21833e-05,43.475745648427946,0.0251009387771705
269,269.0,33.536428,0.2083634592,0.0015544668999999,6.0152e-05,45.54814326898006,0.0251451586907792
